jalali_date,miladi_date,is_holiday,holiday_title
1403-01-01,2024-03-20,1,جشن نوروز/جشن سال نو
1403-01-02,2024-03-21,1,عیدنوروز
1403-01-03,2024-03-22,1,عیدنوروز
1403-01-04,2024-03-23,1,عیدنوروز
1403-01-05,2024-03-24,0,
1403-01-06,2024-03-25,0,
1403-01-07,2024-03-26,0,
1403-01-08,2024-03-27,0,
1403-01-09,2024-03-28,0,
1403-01-10,2024-03-29,0,
1403-01-11,2024-03-30,0,
1403-01-12,2024-03-31,1,روز جمهوری اسلامی
1403-01-13,2024-04-01,1,جشن سیزده به در
1403-01-13,2024-04-01,1,شهادت حضرت علی علیه السلام
1403-01-14,2024-04-02,0,
1403-01-15,2024-04-03,0,
1403-01-16,2024-04-04,0,
1403-01-17,2024-04-05,0,
1403-01-18,2024-04-06,0,
1403-01-19,2024-04-07,0,
1403-01-20,2024-04-08,0,
1403-01-21,2024-04-09,0,
1403-01-22,2024-04-10,1,عید سعید فطر
1403-01-23,2024-04-11,1,تعطیل به مناسبت عید سعید فطر
1403-01-24,2024-04-12,0,
1403-01-25,2024-04-13,0,
1403-01-26,2024-04-14,0,
1403-01-27,2024-04-15,0,
1403-01-28,2024-04-16,0,
1403-01-29,2024-04-17,0,
1403-01-30,2024-04-18,0,
1403-01-31,2024-04-19,0,
1403-02-01,2024-04-20,0,
1403-02-02,2024-04-21,0,
1403-02-03,2024-04-22,0,
1403-02-04,2024-04-23,0,
1403-02-05,2024-04-24,0,
1403-02-06,2024-04-25,0,
1403-02-07,2024-04-26,0,
1403-02-08,2024-04-27,0,
1403-02-09,2024-04-28,0,
1403-02-10,2024-04-29,0,
1403-02-11,2024-04-30,0,
1403-02-12,2024-05-01,0,
1403-02-13,2024-05-02,0,
1403-02-14,2024-05-03,0,
1403-02-15,2024-05-04,1,شهادت امام جعفر صادق علیه السلام
1403-02-16,2024-05-05,0,
1403-02-17,2024-05-06,0,
1403-02-18,2024-05-07,0,
1403-02-19,2024-05-08,0,
1403-02-20,2024-05-09,0,
1403-02-21,2024-05-10,0,
1403-02-22,2024-05-11,0,
1403-02-23,2024-05-12,0,
1403-02-24,2024-05-13,0,
1403-02-25,2024-05-14,0,
1403-02-26,2024-05-15,0,
1403-02-27,2024-05-16,0,
1403-02-28,2024-05-17,0,
1403-02-29,2024-05-18,0,
1403-02-30,2024-05-19,0,
1403-02-31,2024-05-20,0,
1403-03-01,2024-05-21,0,
1403-03-02,2024-05-22,0,
1403-03-03,2024-05-23,0,
1403-03-04,2024-05-24,0,
1403-03-05,2024-05-25,0,
1403-03-06,2024-05-26,0,
1403-03-07,2024-05-27,0,
1403-03-08,2024-05-28,0,
1403-03-09,2024-05-29,0,
1403-03-10,2024-05-30,0,
1403-03-11,2024-05-31,0,
1403-03-12,2024-06-01,0,
1403-03-13,2024-06-02,0,
1403-03-14,2024-06-03,1,رحلت حضرت امام خمینی
1403-03-15,2024-06-04,1,قیام 15 خرداد
1403-03-16,2024-06-05,0,
1403-03-17,2024-06-06,0,
1403-03-18,2024-06-07,0,
1403-03-19,2024-06-08,0,
1403-03-20,2024-06-09,0,
1403-03-21,2024-06-10,0,
1403-03-22,2024-06-11,0,
1403-03-23,2024-06-12,0,
1403-03-24,2024-06-13,0,
1403-03-25,2024-06-14,0,
1403-03-26,2024-06-15,0,
1403-03-27,2024-06-16,0,
1403-03-28,2024-06-17,1,عید سعید قربان
1403-03-29,2024-06-18,0,
1403-03-30,2024-06-19,0,
1403-03-31,2024-06-20,0,
1403-04-01,2024-06-21,0,
1403-04-02,2024-06-22,0,
1403-04-03,2024-06-23,0,
1403-04-04,2024-06-24,0,
1403-04-05,2024-06-25,1,عید سعید غدیر خم
1403-04-06,2024-06-26,0,
1403-04-07,2024-06-27,0,
1403-04-08,2024-06-28,0,
1403-04-09,2024-06-29,0,
1403-04-10,2024-06-30,0,
1403-04-11,2024-07-01,0,
1403-04-12,2024-07-02,0,
